product_type	title	description	link	image_link	id	label	price	size	availability	condition	brand	google_product_category	gender	age_group	mpn	color	item_group_id	adwords_labels	style_number	GTIN
A Perfect Circle > Girls Clothes > Beater Tanks	A Perfect Circle Girls Shirts - Logo Tank Red	A Perfect Circle Jr Logo Tank Red - A sweet APC beater for the girls.	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F015%21AMTEE&color=RED&size=Medium&	http://www.band-tees.com/istarimages/p/p-P_00145_015!AMTEE.jpg	400119653683	Rock T-shirts	19.99	Medium	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Camis & Tank Tops	female	adult	P_00145_015-M	Red	APC07002	GIRLS_TANK	P_00145_015	080119891928
A Perfect Circle > Girls Clothes > Beater Tanks	A Perfect Circle Girls Shirts - Logo Tank Red	A Perfect Circle Jr Logo Tank Red - A sweet APC beater for the girls.	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F015%21AMTEE&color=RED&size=Large&	http://www.band-tees.com/istarimages/p/p-P_00145_015!AMTEE.jpg	400119653690	Rock T-shirts	19.99	Large	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Camis & Tank Tops	female	adult	P_00145_015-L	Red	APC07002	GIRLS_TANK	P_00145_015	080119891881
A Perfect Circle > Girls Clothes > T-shirts	A Perfect Circle Girls T-shirts - Slug Face Jr Babydoll	A Perfect Circle Slug Face Jr T-shirt - A Perfect Circle t-shirt made to fit the female shape.Hurry though girls because once these APC shirts are gone they may not ever come back in stock.Get yours today!	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E010%21FEA&color=ASWN&size=SMALL&	http://www.band-tees.com/istarimages/p/p-P_00145_010!FEA.jpg	400119040902	Rock T-shirts	19.99	SMALL	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Camis & Tank Tops	female	adult		As Shown	PC133	GIRLS_TSHIRT		26542
A Perfect Circle > Girls Clothes > T-shirts	A Perfect Circle Girls T-shirts - Slug Face Jr Babydoll	A Perfect Circle Slug Face Jr T-shirt - A Perfect Circle t-shirt made to fit the female shape.Hurry though girls because once these APC shirts are gone they may not ever come back in stock.Get yours today!	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E010%21FEA&color=ASWN&size=LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_010!FEA.jpg	400119040926	Rock T-shirts	19.99	LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Camis & Tank Tops	female	adult	P.00145.010-L	As Shown	PC133	GIRLS_TSHIRT	P.00145.010	26544
A Perfect Circle > Tank Tops	A Perfect Circle Logo Tank White	A Perfect Circle Logo Tank White - Official A Perfect Circle tank top made from 100% combed cotton for a great fit and the best comfort.	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F021%21AMTEE&color=WHITE&size=SMALL&	http://www.band-tees.com/istarimages/p/p-P_00145_021!AMTEE.jpg	400119947416	Rock T-shirts	19.99	SMALL	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Camis & Tank Tops	unisex	adult	P_00145_021-S	White	APC07003	TANKS	P_00145_021	
A Perfect Circle > Tank Tops	A Perfect Circle Logo Tank White	A Perfect Circle Logo Tank White - Official A Perfect Circle tank top made from 100% combed cotton for a great fit and the best comfort.	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F021%21AMTEE&color=WHITE&size=MEDIUM&	http://www.band-tees.com/istarimages/p/p-P_00145_021!AMTEE.jpg	400119947423	Rock T-shirts	19.99	MEDIUM	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Camis & Tank Tops	unisex	adult	P_00145_021-M	White	APC07003	TANKS	P_00145_021	080119894745
A Perfect Circle > Tank Tops	A Perfect Circle Logo Tank White	A Perfect Circle Logo Tank White - Official A Perfect Circle tank top made from 100% combed cotton for a great fit and the best comfort.	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F021%21AMTEE&color=WHITE&size=LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_021!AMTEE.jpg	400119947430	Rock T-shirts	19.99	LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Camis & Tank Tops	unisex	adult	P_00145_021-L	White	APC07003	TANKS	P_00145_021	
A Perfect Circle > Long Sleeve Shirts	A Perfect Circle Shirts - Bowler Long sleeve	A Perfect Circle Bowler LS Tee - 	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F011%21AMTEE&color=BLACK&size=MEDIUM&	http://www.band-tees.com/istarimages/p/p-P_00145_011!AMTEE.jpg	400119194193	Rock T-shirts	24.99	MEDIUM	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Shirts	unisex	adult	P_00145_011-M	Black	APC19001	LS	P_00145_011	31075
A Perfect Circle > Long Sleeve Shirts	A Perfect Circle Shirts - Bowler Long sleeve	A Perfect Circle Bowler LS Tee - 	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F011%21AMTEE&color=BLACK&size=LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_011!AMTEE.jpg	400119194209	Rock T-shirts	24.99	LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > Shirts	unisex	adult		Black	APC19001			31076
A Perfect Circle > Girls Shirts	A Perfect Circle Slug Face Girls T-shirt	A Perfect Circle Slug Face Jr T-shirt - A Perfect Circle t-shirt made to fit the female shape.Hurry though girls because once these APC shirts are gone they may not ever come back in stock.Get yours today!	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E010%21FEA&color=ASWN&size=XTRA+LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_010!FEA.jpg	400119040933	Rock T-shirts	19.99	XTRA LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	female	adult	PC133-XL	As Shown	PC133	GIRLS_TSHIRT		26545
A Perfect Circle > T-shirts	A Perfect Circle T-shirt Roots Tee	A Perfect Circle Roots T-shirt - This t-shirt from A Perfect Circle is one of the few left in production and really portrays the feel of the band.Printed on high quality heavyweight cotton your satisfaction is guaranteed and we're confident that you'll love this tee.	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E009%21FEA&color=BLACK&size=SMALL&	http://www.band-tees.com/istarimages/p/p-P_00145_009!FEA.jpg	400119040537	Rock T-shirts	19.99	SMALL	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC147-S	Black	PC147	TSHIRTS	P.00145.009	080119912746
A Perfect Circle > T-shirts	A Perfect Circle T-shirt Roots Tee	A Perfect Circle Roots T-shirt - This t-shirt from A Perfect Circle is one of the few left in production and really portrays the feel of the band.Printed on high quality heavyweight cotton your satisfaction is guaranteed and we're confident that you'll love this tee.	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E009%21FEA&color=BLACK&size=MEDIUM&	http://www.band-tees.com/istarimages/p/p-P_00145_009!FEA.jpg	400119040544	Rock T-shirts	19.99	MEDIUM	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC147-M	Black	PC147	TSHIRTS	P.00145.009	26527
A Perfect Circle > T-shirts	A Perfect Circle T-shirt Roots Tee	A Perfect Circle Roots T-shirt - This t-shirt from A Perfect Circle is one of the few left in production and really portrays the feel of the band.Printed on high quality heavyweight cotton your satisfaction is guaranteed and we're confident that you'll love this tee.	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E009%21FEA&color=BLACK&size=LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_009!FEA.jpg	400119040551	Rock T-shirts	19.99	LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC147-L	Black	PC147	TSHIRTS	P.00145.009	26528
